Estado,Pais,Total_ganancias,Total_clientes
Jalisco,México,61883.2556,109
Jujuy,Argentina,-975.5200000000004,2
Junín,Perú,-1384.7999999999995,3
La Libertad,El Salvador,15410.720800000001,14
La Libertad,Perú,-146.24000000000007,3
La Pampa,Argentina,-855.5600000000002,1
La Paz,Bolivia,1433.6000000000001,5
La Rioja,Argentina,-2014.1999999999998,1
La Romana,República Dominicana,-612.038400000001,25
La Vega,República Dominicana,-1390.6856000000005,12
Lambayeque,Perú,-84.24000000000001,1
Las Tunas,Cuba,20527.5732,34
Libertador General Bernardo O'Higgins,Chile,6809.2,4
Lima,Perú,10.399999999999977,1
Lima (city),Perú,-32956.473600000005,38
Loreto,Perú,-2216.8000000000006,4
Los Lagos,Chile,2573.4,4
Los Ríos,Ecuador,369.30479999999994,1
Magallanes y Antártica Chilena,Chile,2661.4,3
Magdalena,Colombia,-329.63840000000033,4
Manabi,Ecuador,705.9200000000003,2
Managua,Nicaragua,334014.4456,259
Maranhão,Brasil,-7784.120399999995,34
Matanzas,Cuba,10031.8512,18
Mato Grosso,Brasil,-865.7768000000007,13
Mato Grosso del Sur,Brasil,8880.801599999999,7
Mayabeque,Cuba,16337.532000000001,8
Mendoza,Argentina,-3468.9799999999996,8
Meta,Colombia,215.2,1
México,México,63578.0236,80
Michoacán,México,48428.5996,45
Minas Gerais,Brasil,-23658.301600000003,63
Misiones,Argentina,-1281.4000000000003,2
Monagas,Venezuela,-2658.3088000000016,12
Monseñor Nouel,República Dominicana,-728.16,2
Montevideo,Uruguay,6559.4400000000005,12
Moquegua,Perú,-2590.7999999999997,1
Morelos,México,15430.676000000001,17
Nariño,Colombia,1582.3999999999999,2
Nayarit,México,13824.4968,11
Neuquén,Argentina,-261.44000000000005,2
Norte de Santander,Colombia,12707.8232,8
Nuevo León,México,46756.4,64
Oaxaca,México,2344.4,2
Oruro,Bolivia,2163.7999999999997,3
Ouest,Haití,-38010.0436,34
Panamá,Panamá,-149784.9936,159
Pará,Brasil,24393.392,16
Paraíba,Brasil,21376.528,8
Paraná,Brasil,64395.3276,39
Paysandú,Uruguay,8681.2,1
Peravia,República Dominicana,-2490.6399999999994,6
Pernambuco,Brasil,-1708.8987999999993,44
Piauí,Brasil,3585.7076,7
Pichincha,Ecuador,13861.7788,11
Pinar del Río,Cuba,28415.5728,30
Piura,Perú,-731.8,3
Portuguesa,Venezuela,-8592.306,5
Potosí,Bolivia,4117.5999999999995,2
Puebla,México,55533.344,61
Puno,Perú,-7907.8412,5
Querétaro,México,23036.275999999998,21
Quezaltenango,Guatemala,21968.296799999996,26
Quindío,Colombia,10110,3
Quintana Roo,México,24001.7932,18
Río de Janeiro,Brasil,26483.220400000002,36
Río Grande del Norte,Brasil,-34703.2128,14
Río Grande del Sur,Brasil,49954.337999999996,37
Río Negro,Argentina,-2459.3599999999997,1
Risaralda,Colombia,4789.8,4
Rivera,Uruguay,166,1
Rondônia,Brasil,1030.4832000000001,5
Roraima,Brasil,2412.3736,3
Salta,Argentina,-907.3800000000001,6
San Cristóbal,República Dominicana,1337.4111999999998,5
San Fernando,Trinidad y Tobago,17915.3544,7
San Juan,Argentina,-7683.028800000001,5
San Juan,República Dominicana,-798.1908000000013,9
San Luis,Argentina,-10560.559999999998,3
San Luis Potosí,México,22293.008400000002,30
San Miguel,Barbados,21997.9392,13
San Pedro de Macorís,República Dominicana,-17810.1064,19
San Salvador,El Salvador,358833.77,257
Sancti Spíritus,Cuba,9093.738,10
Santa Ana,El Salvador,25826.7564,31
Santa Catarina,Brasil,-16651.285999999993,36
Santa Caterina,Jamaica,13922.2584,15
Santa Cruz,Bolivia,5257.4,6
Santa Fe,Argentina,-15817.600000000004,24
Santander,Colombia,14505.664,10
Santiago,Chile,44464.17,49
Santiago,República Dominicana,-14898.1692,47
Santiago de Cuba,Cuba,73018.6776,68
Santiago del Estero,Argentina,-343.38000000000056,2
São Paulo,Brasil,218780.2388,178
Sergipe,Brasil,3483.6,5
Sinaloa,México,52619.4212,44
Sonora,México,30135.374399999997,40
Sonsonate,El Salvador,16046.184799999999,12
Tabasco,México,10082.84,15
Táchira,Venezuela,-11767.366,16
Tamaulipas,México,39079.578799999996,54
Tarapacá,Chile,618.1999999999999,1
Tarija,Bolivia,-70.16000000000014,1
Tocantins,Brasil,4301.4,5
Tolima,Colombia,6361.8,8
Valle del Cauca,Colombia,-734.2000000000002,5
Valparaíso,Chile,5511.5999999999995,8
Veracruz,México,46864.871999999996,49
Villa Clara,Cuba,43506.5764,24
Yoro,Honduras,-5857.1744,15
Yucatán,México,25187.2592,30
Zacatecas,México,1764.32,8
Zulia,Venezuela,-18989.162800000002,25
