Id_cliente,Reciente,Frequencia,Monto,score_r,score_f,score_m,rfm,segment,Value
BH-12025,10,5,7430.32,5,2,1,521,Potential Loyalist,Very Good
BJ-12145,1194,2,2340.3599999999997,1,1,1,111,Lost,Bad
BL-11725,5,10,40342.674,5,5,4,554,Champions,Very Good
BL-11860,393,7,31876.3332,1,3,4,134,At Risk,Bad
BL-11890,45,14,69048.12560000001,4,5,5,455,Champions,Very Good
BM-11920,98,8,12677.839999999998,3,4,2,342,Need Attention,Average
BO-12010,40,8,49590.28,4,4,5,445,Loyal Customers,Good
BP-11755,19,9,42637.99999999999,5,4,5,545,Champions,Very Good
BP-11815,99,6,30194.719999999998,3,2,4,324,Potential Loyalist,Average
BP-11995,29,6,20641.6104,5,2,3,523,Potential Loyalist,Very Good
BR-11770,36,8,28617.4016,4,4,4,444,Need Attention,Good
BR-11845,175,5,16886.64,2,2,2,222,Hibernating,Low
BR-11950,572,7,35322.7504,1,3,4,134,At Risk,Bad
BR-12160,166,5,38414.311200000004,2,2,4,224,Can't Lose Them,Low
BS-11785,37,5,23775.120000000003,4,2,3,423,Potential Loyalist,Good
BS-12055,94,5,22486.739999999998,3,2,3,323,Hibernating,Average
BS-12085,177,7,32601.6,2,3,4,234,Can't Lose Them,Low
BS-12130,57,5,16021.600000000002,4,2,2,422,Potential Loyalist,Good
BT-11710,52,13,77809.52799999999,4,5,5,455,Champions,Very Good
BU-11980,89,7,31715.5816,3,3,4,334,Need Attention,Average
CA-12220,667,8,5509.128,1,4,1,141,About To Sleep,Bad
CA-12250,101,5,15601.36,3,2,2,322,Hibernating,Average
CA-12310,281,5,19197.5896,1,2,2,122,At Risk,Bad
CA-12355,30,11,22268.84,5,5,3,553,Loyal Customers,Very Good
CA-12715,234,6,15140.639999999998,2,2,2,222,Hibernating,Low
CA-13060,48,4,11698.9996,4,1,1,411,Promising,Good
CÁ-13135,415,3,3585.5199999999995,1,1,1,111,Lost,Bad
CB-12325,62,9,37137.4312,4,4,4,444,Need Attention,Good
CB-12445,16,11,34724.150799999996,5,5,4,554,Champions,Very Good
CB-12730,108,7,76349.0536,3,3,5,335,Loyal Customers,Average
CB-13030,153,10,45466.84,2,5,5,255,Can't Lose Them,Average
CC-12370,255,4,11226.44,1,1,1,111,Lost,Bad
CC-12520,54,3,25908.9152,4,1,3,413,Promising,Good
CC-12610,89,3,21526.16,3,1,3,313,Potential Loyalist,Average
CC-12880,7,9,26657.188000000002,5,4,3,543,Loyal Customers,Very Good
CC-12910,3,10,33062.52,5,5,4,554,Champions,Very Good
CC-13045,122,8,90178.7892,2,4,5,245,At Risk,Low
CD-12265,184,7,26022.978,2,3,3,233,Hibernating,Low
CD-12895,273,7,51543.2596,1,3,5,135,At Risk,Bad
CD-12940,49,7,16965.7952,4,3,2,432,Potential Loyalist,Good
CE-13150,421,6,43412.6,1,2,5,125,At Risk,Bad
CF-12280,127,9,16273.882800000001,2,4,2,242,At Risk,Low
CF-12985,98,9,47427.68,3,4,5,345,Loyal Customers,Average
CG-12340,30,8,51260.732800000005,5,4,5,545,Champions,Very Good
CG-12550,147,8,19148.3184,2,4,2,242,At Risk,Low
CG-12565,125,6,19769.5488,2,2,2,222,Hibernating,Low
CG-12685,155,3,3034.12,2,1,1,211,About To Sleep,Low
CG-13015,97,3,4472.4,3,1,1,311,About To Sleep,Average
CL-12205,5,7,12068.1484,5,3,2,532,Potential Loyalist,Very Good
CL-12505,28,6,31634.32,5,2,4,524,Champions,Very Good
CL-12640,293,6,26071.3696,1,2,3,123,At Risk,Bad
CL-12775,187,8,16341.599999999999,2,4,2,242,At Risk,Low
CM-12235,402,4,23464.897999999997,1,1,3,113,Lost,Bad
CM-12295,52,6,29407.5248,4,2,4,424,Potential Loyalist,Good
CM-12415,37,8,47651.7936,4,4,5,445,Loyal Customers,Good
CM-12460,111,7,49356.0088,3,3,5,335,Loyal Customers,Average
CM-12625,44,7,25913.6528,4,3,3,433,Need Attention,Good
CM-12760,87,7,16987.043999999998,3,3,2,332,Hibernating,Average
CM-12790,426,3,4309.280000000001,1,1,1,111,Lost,Bad
CM-12820,65,9,64346.56160000001,3,4,5,345,Loyal Customers,Average
CO-12490,84,10,56964.68,3,5,5,355,Promising,Good
CO-12670,90,8,15496.432,3,4,2,342,Need Attention,Average
CO-12925,69,8,31684.392,3,4,4,344,Need Attention,Average
CO-13105,65,9,39057.831999999995,3,4,4,344,Need Attention,Average
CP-12580,37,3,3962.4800000000005,4,1,1,411,Promising,Good
CQ-12865,176,9,19777.825999999997,2,4,2,242,At Risk,Low
CR-12805,938,1,840.2,1,1,1,111,Lost,Bad
CR-12835,58,8,67437.54000000001,4,4,5,445,Loyal Customers,Good
CR-13120,29,2,3272.9311999999995,5,1,1,511,New Customers,Very Good
CS-12595,44,7,21443.8288,4,3,3,433,Need Attention,Good
CS-12655,185,5,20406.898800000003,2,2,3,223,Hibernating,Low
CS-12745,367,7,41197.072,1,3,5,135,At Risk,Bad
CS-12850,42,10,15474.92,4,5,2,452,Potential Loyalist,Very Good
CS-13075,93,9,29776.32,3,4,4,344,Need Attention,Average
CS-13090,76,5,9157.57,3,2,1,321,About To Sleep,Average
CT-12535,90,8,24966.9784,3,4,3,343,Need Attention,Average
CV-12385,154,6,49024.2952,2,2,5,225,Can't Lose Them,Low
CV-12400,2,5,30403.1936,5,2,4,524,Champions,Very Good
CV-12430,7,9,58765.9156,5,4,5,545,Champions,Very Good
CV-12475,17,7,57801.6536,5,3,5,535,Champions,Very Good
CV-12700,22,9,25054.52,5,4,3,543,Loyal Customers,Very Good
CV-12955,266,9,73036.7232,1,4,5,145,Can't Lose Them,Bad
CV-13000,394,5,31329.799999999992,1,2,4,124,At Risk,Bad
DA-13225,84,6,19721.52,3,2,2,322,Hibernating,Average
DA-13345,568,4,12910.999999999998,1,1,2,112,Lost,Bad
DA-13495,56,6,21762,4,2,3,423,Potential Loyalist,Good
DA-13555,37,5,19720.876,4,2,2,422,Potential Loyalist,Good
DB-13210,22,5,26883.2,5,2,3,523,Potential Loyalist,Very Good
DB-13330,28,11,19508.44,5,5,2,552,Loyal Customers,Very Good
DB-13600,86,1,589.4399999999999,3,1,1,311,About To Sleep,Average
DB-13720,121,8,21356.84,2,4,3,243,At Risk,Low
DC-13180,15,13,53356.67999999999,5,5,5,555,Champions,Very Good
DC-13300,31,7,30327.239999999998,5,3,4,534,Champions,Very Good
DC-13360,68,7,20191.635599999998,3,3,3,333,Hibernating,Average
DC-13390,246,5,11418.2,1,2,1,121,Lost,Bad
DC-13405,108,7,33890.9876,3,3,4,334,Need Attention,Average
DC-13465,191,7,52970.624800000005,2,3,5,235,At Risk,Low
DC-13480,213,7,23406.156,2,3,3,233,Hibernating,Low
DC-13525,36,6,22089.4768,4,2,3,423,Potential Loyalist,Good
DC-13645,231,6,19455.3392,2,2,2,222,Hibernating,Low
DC-13690,266,6,52898.08,1,2,5,125,At Risk,Bad
DG-13195,90,4,5272.360000000001,3,1,1,311,About To Sleep,Average
DG-13435,65,12,21829.7,3,5,3,353,Promising,Good
DJ-13510,85,10,57391.79,3,5,5,355,Promising,Good
DL-13240,19,9,42013.6432,5,4,5,545,Champions,Very Good
DM-13630,324,4,22061.24,1,1,3,113,Lost,Bad
DM-13660,282,3,17578.2024,1,1,2,112,Lost,Bad
DP-13570,78,6,10226.168,3,2,1,321,About To Sleep,Average
DR-13615,118,7,16010.498,2,3,2,232,Hibernating,Low
DS-13165,8,7,18728.1152,5,3,2,532,Potential Loyalist,Very Good
DS-13255,131,8,25043.24,2,4,3,243,At Risk,Low
DS-13315,35,6,20047.679999999997,4,2,3,423,Potential Loyalist,Good
DS-13450,14,8,64471.035599999996,5,4,5,545,Champions,Very Good
DS-13705,265,7,39712.28,1,3,4,134,At Risk,Bad
DT-13270,1120,3,1176.5,1,1,1,111,Lost,Bad
DT-13375,5,7,54496.48,5,3,5,535,Champions,Very Good
DT-13585,83,11,50345.436,3,5,5,355,Promising,Good
DT-13675,24,7,8232.16,5,3,1,531,Potential Loyalist,Very Good
DV-13285,19,11,72430.944,5,5,5,555,Champions,Very Good
DV-13420,432,6,37392.2064,1,2,4,124,At Risk,Bad
DV-13540,95,6,37268.479999999996,3,2,4,324,Potential Loyalist,Average
EA-13765,19,4,9577,5,1,1,511,New Customers,Very Good
EA-13825,138,7,33490.505600000004,2,3,4,234,Can't Lose Them,Low
EA-14140,25,9,56150.133599999994,5,4,5,545,Champions,Very Good
EA-14170,20,10,33427.200000000004,5,5,4,554,Champions,Very Good
EA-14185,68,8,19075.3112,3,4,2,342,Need Attention,Average
EA-14275,5,5,12895.6,5,2,2,522,Potential Loyalist,Very Good
EA-14470,22,10,27912.440000000002,5,5,3,553,Loyal Customers,Very Good
EB-14005,29,8,24889.08,5,4,3,543,Loyal Customers,Very Good
EB-14245,199,4,25651.999999999996,2,1,3,213,About To Sleep,Low
EC-13795,220,2,4314.36,2,1,1,211,About To Sleep,Low
EC-13840,196,5,18561.8304,2,2,2,222,Hibernating,Low
EC-13870,73,1,921.0000000000001,3,1,1,311,About To Sleep,Average
EC-14080,367,5,46287.492,1,2,5,125,At Risk,Bad
EC-14095,9,3,13241.52,5,1,2,512,Potential Loyalist,Very Good
EC-14260,52,2,3475.08,4,1,1,411,Promising,Good
ÉC-14365,43,7,133274.8752,4,3,5,435,Loyal Customers,Good
EC-14380,478,3,7961.3200000000015,1,1,1,111,Lost,Bad
EC-14395,64,12,31175.18,3,5,4,354,Promising,Good
EC-14410,91,10,28566.9248,3,5,4,354,Promising,Good
EC-14530,295,4,7556.199999999999,1,1,1,111,Lost,Bad
ED-14065,210,6,20966.1208,2,2,3,223,Hibernating,Low
ED-14125,230,5,27587.0012,2,2,3,223,Hibernating,Low
EG-13735,54,9,26526.44,4,4,3,443,Need Attention,Good
EG-14050,770,4,10044.699999999999,1,1,1,111,Lost,Bad
EG-14320,30,8,7483.200000000001,5,4,1,541,Loyal Customers,Very Good
EH-13915,581,1,16859.0144,1,1,2,112,Lost,Bad
EL-14350,115,5,14340.9552,2,2,2,222,Hibernating,Low
EL-14425,19,7,19545.760000000002,5,3,2,532,Potential Loyalist,Very Good
EM-13750,91,3,21083.719999999998,3,1,3,313,Potential Loyalist,Average
EM-13855,134,7,15359.72,2,3,2,232,Hibernating,Low
EM-13945,58,10,33206.3952,4,5,4,454,Champions,Very Good
EM-13990,79,6,5708,3,2,1,321,About To Sleep,Average
EM-14110,36,3,6015.12,4,1,1,411,Promising,Good
EM-14455,101,2,3041.7599999999998,3,1,1,311,About To Sleep,Average
EM-14500,234,7,40019.3692,2,3,4,234,Can't Lose Them,Low
EN-13900,37,5,24674.988800000003,4,2,3,423,Potential Loyalist,Good
EN-14020,77,7,23760.0924,3,3,3,333,Hibernating,Average
EO-13885,45,8,49224.6,4,4,5,445,Loyal Customers,Good
EO-14440,105,4,23914.4188,3,1,3,313,Potential Loyalist,Average
EP-13780,31,6,6682.280000000001,5,2,1,521,Potential Loyalist,Very Good
EP-13810,104,8,22891.2304,3,4,3,343,Need Attention,Average
EP-14215,255,7,20787.432,1,3,3,133,At Risk,Bad
ER-14035,192,9,42835.3792,2,4,5,245,At Risk,Low
ER-14305,23,7,9286,5,3,1,531,Potential Loyalist,Very Good
ER-14335,108,6,11795.5844,3,2,1,321,About To Sleep,Average
ER-14485,205,5,15097.88,2,2,2,222,Hibernating,Low
ES-13975,1,13,48830.58,5,5,5,555,Champions,Very Good
ES-14200,42,8,54402.581600000005,4,4,5,445,Loyal Customers,Good
ES-14230,39,5,12972.039999999999,4,2,2,422,Potential Loyalist,Good
ES-14290,81,11,58871.453199999996,3,5,5,355,Promising,Good
ES-14515,428,8,24367.2832,1,4,3,143,At Risk,Bad
ET-13930,597,2,5573.4,1,1,1,111,Lost,Bad
EV-13960,303,6,42096.1728,1,2,5,125,At Risk,Bad
EV-14155,599,5,31311.697999999993,1,2,4,124,At Risk,Bad
FA-14770,42,4,18672.519999999997,4,1,2,412,Promising,Good
FA-14800,461,12,53081.1892,1,5,5,155,Can't Lose Them,Low
FA-14905,79,6,36292.344399999994,3,2,4,324,Potential Loyalist,Average
FB-14590,370,7,33080.028,1,3,4,134,At Risk,Bad
FB-14965,383,3,16066.148,1,1,2,112,Lost,Bad
FB-14980,26,6,19262.36,5,2,2,522,Potential Loyalist,Very Good
FB-14995,15,7,13618.92,5,3,2,532,Potential Loyalist,Very Good
FC-14560,68,7,17736.9544,3,3,2,332,Hibernating,Average
FC-14695,48,7,12727.24,4,3,2,432,Potential Loyalist,Good
FC-14950,488,2,5711.0560000000005,1,1,1,111,Lost,Bad
FF-14890,44,6,23489.48,4,2,3,423,Potential Loyalist,Good
FG-14935,80,4,1960.04,3,1,1,311,About To Sleep,Average
FG-15010,62,8,31776.2432,4,4,4,444,Need Attention,Good
FH-14575,71,7,26381.2248,3,3,3,333,Hibernating,Average
FJ-14830,391,4,11154.6336,1,1,1,111,Lost,Bad
FL-14665,36,6,23594.9032,4,2,3,423,Potential Loyalist,Good
FL-14845,110,6,64173.0432,3,2,5,325,Potential Loyalist,Average
FM-14650,352,4,11531.5876,1,1,1,111,Lost,Bad
FM-14680,6,8,21817.8064,5,4,3,543,Loyal Customers,Very Good
FM-14710,9,6,53637.7828,5,2,5,525,Champions,Very Good
FM-14785,100,13,24232.34,3,5,3,353,Promising,Good
FM-14920,31,3,19181,5,1,2,512,Potential Loyalist,Very Good
FN-14875,540,4,4505.280000000001,1,1,1,111,Lost,Bad
FO-14725,337,3,1661.04,1,1,1,111,Lost,Bad
FO-14755,127,4,16767.8712,2,1,2,212,About To Sleep,Low
FP-14545,77,7,27429.444,3,3,3,333,Hibernating,Average
FP-14605,455,3,23053.719999999998,1,1,3,113,Lost,Bad
FT-14635,57,4,21208.112399999998,4,1,3,413,Promising,Good
FT-14815,103,8,25307.44,3,4,3,343,Need Attention,Average
FV-14620,380,5,38543.299999999996,1,2,4,124,At Risk,Bad
FV-14740,2,9,17596.18,5,4,2,542,Loyal Customers,Very Good
FV-14860,142,5,48510.92,2,2,5,225,Can't Lose Them,Low
GA-15040,37,4,59190.336800000005,4,1,5,415,Promising,Good
GA-15175,42,10,32887.637599999995,4,5,4,454,Champions,Very Good
GA-15190,148,4,14285.98,2,1,2,212,About To Sleep,Low
GA-15205,71,8,25840.440000000002,3,4,3,343,Need Attention,Average
GA-15325,467,7,33314.8332,1,3,4,134,At Risk,Bad
GA-15355,170,4,9990.599999999999,2,1,1,211,About To Sleep,Low
GB-15055,260,3,5635.5536,1,1,1,111,Lost,Bad
GB-15070,266,6,28908.9392,1,2,4,124,At Risk,Bad
GB-15415,104,6,14499.0148,3,2,2,322,Hibernating,Average
GC-15085,64,6,21676.434800000006,3,2,3,323,Hibernating,Average
GC-15130,158,10,25841.0704,2,5,3,253,At Risk,Average
GC-15160,114,8,26272.960000000003,3,4,3,343,Need Attention,Average
GC-15385,9,11,46756.6992,5,5,5,555,Champions,Very Good
GC-15460,37,6,18181.7192,4,2,2,422,Potential Loyalist,Good
GC-15520,63,8,40568.2416,4,4,5,445,Loyal Customers,Good
GD-15145,91,3,6240.4,3,1,1,311,About To Sleep,Average
GD-15505,386,6,44475.560000000005,1,2,5,125,At Risk,Bad
GF-15445,34,3,28506.120000000003,4,1,4,414,Promising,Good
GF-15490,66,6,19521.3736,3,2,2,322,Hibernating,Average
GG-15265,183,7,33202.880000000005,2,3,4,234,Can't Lose Them,Low
GG-15340,373,5,3219.56,1,2,1,121,Lost,Bad
GI-15370,121,6,45565.362400000005,2,2,5,225,Can't Lose Them,Low
GJ-15295,92,7,58239.10399999999,3,3,5,335,Loyal Customers,Average
GL-15235,108,5,33209.606400000004,3,2,4,324,Potential Loyalist,Average
GM-15280,211,7,22342.496,2,3,3,233,Hibernating,Low
GO-15025,7,7,22115.872,5,3,3,533,Potential Loyalist,Very Good
GO-15310,261,5,12343.399999999998,1,2,2,122,At Risk,Bad
GO-15400,93,8,24661.453999999998,3,4,3,343,Need Attention,Average
GT-15220,17,5,9332.319999999998,5,2,1,521,Potential Loyalist,Very Good
GT-15250,73,6,7064.9752,3,2,1,321,About To Sleep,Average
GV-15100,223,8,36319.3476,2,4,4,244,Can't Lose Them,Low
GV-15430,42,11,62067.28,4,5,5,455,Champions,Very Good
GV-15475,37,5,4711.04,4,2,1,421,Potential Loyalist,Good
GZ-15115,420,7,44769.38879999999,1,3,5,135,At Risk,Bad
HA-15700,80,8,18726.8976,3,4,2,342,Need Attention,Average
HA-15970,40,5,18192.04,4,2,2,422,Potential Loyalist,Good
HA-16075,261,5,29589.520000000004,1,2,4,124,At Risk,Bad
HB-15820,14,6,58674.99999999999,5,2,5,525,Champions,Very Good
HC-15535,905,1,348.23999999999995,1,1,1,111,Lost,Bad
HC-15685,156,8,41323.64000000001,2,4,5,245,At Risk,Low
HC-15760,400,5,19030.7408,1,2,2,122,At Risk,Bad
HC-15835,192,6,27068.12,2,2,3,223,Hibernating,Low
HC-15865,183,5,26119.92,2,2,3,223,Hibernating,Low
HC-15955,133,7,6822.92,2,3,1,231,Hibernating,Low
HC-15985,505,14,38769.123999999996,1,5,4,154,Can't Lose Them,Low
HD-15790,16,8,31032.713600000003,5,4,4,544,Champions,Very Good
HE-15715,50,4,5565.04,4,1,1,411,Promising,Good
HE-15895,27,9,27697.6692,5,4,3,543,Loyal Customers,Very Good
HE-16030,22,5,23364.7668,5,2,3,523,Potential Loyalist,Very Good
HF-15880,199,3,8581.52,2,1,1,211,About To Sleep,Low
HG-16060,66,7,27612.6496,3,3,3,333,Hibernating,Average
HH-15850,45,6,12507.88,4,2,2,422,Potential Loyalist,Good
HL-15550,139,5,10494.76,2,2,1,221,About To Sleep,Low
HM-15745,68,8,65118.8516,3,4,5,345,Loyal Customers,Average
HM-16000,2,8,54774.3352,5,4,5,545,Champions,Very Good
HN-15940,239,4,12420.96,2,1,2,212,About To Sleep,Low
HO-15565,2,4,25632.171599999994,5,1,3,513,New Customers,Very Good
HO-15595,6,4,8441.56,5,1,1,511,New Customers,Very Good
HO-15640,18,9,32183.920000000002,5,4,4,544,Champions,Very Good
HO-15805,6,4,15430.480000000001,5,1,2,512,Potential Loyalist,Very Good
HP-15580,120,6,60478.00000000001,2,2,5,225,Can't Lose Them,Low
HP-15910,43,5,24299.159999999996,4,2,3,423,Potential Loyalist,Good
HQ-15730,202,9,21870.84,2,4,3,243,At Risk,Low
HR-15775,450,2,4947.740399999999,1,1,1,111,Lost,Bad
HS-15610,43,5,5402.620000000001,4,2,1,421,Potential Loyalist,Good
HS-15655,48,11,33915.5736,4,5,4,454,Champions,Very Good
HT-16015,213,7,39648.31999999999,2,3,4,234,Can't Lose Them,Low
HT-16045,1,7,31755.2528,5,3,4,534,Champions,Very Good
HU-15670,234,5,27529.16,2,2,3,223,Hibernating,Low
HV-15625,75,9,45202.92,3,4,5,345,Loyal Customers,Average
